song_link,song_id,track_name,artist_name,album_image_url
https://open.spotify.com/track/2JaWrIAAugnQwuG1OQAB0F?si=dd42958b40b146f7,2JaWrIAAugnQwuG1OQAB0F,"NIAMOS! (Chandrilian Club Mix) - From ""Andor (Season 2)""",Nicholas Britell,https://i.scdn.co/image/ab67616d0000b2733b7e74cc00be7c9012a6cfe5
https://open.spotify.com/track/2IQz2JtlZ4GjMuXcusYF2i?si=b14b8ffa05e74743,2IQz2JtlZ4GjMuXcusYF2i,Azizam - Acoustic,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b2737cc956bfc84f689701365627
https://open.spotify.com/track/6bbmyaEU6k26teJfCsIKNb?si=586eb7028b3c4e2f,6bbmyaEU6k26teJfCsIKNb,Little Voice,Sara Bareilles,https://i.scdn.co/image/ab67616d0000b273da313ff0ee1a50bee49dfc72
https://open.spotify.com/track/3gpofCUBcNhtLy2mN0ioE5?si=c26bf52010a04959,3gpofCUBcNhtLy2mN0ioE5,"Pale, Pale Moon",Jayme Lawson,https://i.scdn.co/image/ab67616d0000b2738dba24881240fa4bc378fc11
https://open.spotify.com/track/3ZZYsIaMP7KOC9XDWAGTEz?si=258ac4dc5f24482c,3ZZYsIaMP7KOC9XDWAGTEz,The Windmills Of Your Mind,Mel Tormé,https://i.scdn.co/image/ab67616d0000b273a10884176b5db201bdd1279b
https://open.spotify.com/track/1SdQjKRW52cHg2SEesQLvH?si=af0221d4b54949ec,1SdQjKRW52cHg2SEesQLvH,Physical (feat. Troye Sivan),Dua Lipa,https://i.scdn.co/image/ab67616d0000b2731a6b3dc7db44da933aff51d9
https://open.spotify.com/track/2FGPKZ6c4b0isCFyxLGiqv?si=88593e6dd00146f3,2FGPKZ6c4b0isCFyxLGiqv,Ma Meilleure Ennemie ft. Coldplay (from the series Arcane League of Legends),Stromae,https://i.scdn.co/image/ab67616d0000b273590fc7cd8813dc1789a595e3
https://open.spotify.com/track/2edln5OoPEj6vYoGPZPHB9?si=9b18e092fd5049db,2edln5OoPEj6vYoGPZPHB9,Fantastic (Live From Vevo) (from the series Arcane League of Legends),King Princess,https://i.scdn.co/image/ab67616d0000b273590fc7cd8813dc1789a595e3
https://open.spotify.com/track/4smkJW6uzoHxGReZqqwHS5?si=24d69c1023ea40c0,4smkJW6uzoHxGReZqqwHS5,I'll Be Seeing You,Billie Holiday,https://i.scdn.co/image/ab67616d0000b273f8743d2c7812763f7f66e83b
https://open.spotify.com/track/4mUR5Tv0CvJtpmnUtzeIgd?si=5cc17ca80c1341e4,4mUR5Tv0CvJtpmnUtzeIgd,Garden Of Eden,Lady Gaga,https://i.scdn.co/image/ab67616d0000b273b0860cf0a98e09663c82290c
https://open.spotify.com/track/4il87YHqSV9UqbBkXM7z7m?si=64c34dd227d743dc,4il87YHqSV9UqbBkXM7z7m,Sports car,Tate McRae,https://i.scdn.co/image/ab67616d0000b273de9b9cbdd872ae103d8530c2
https://open.spotify.com/track/7y73txStcKSdfI7smRFfIE?si=fa1d537fc83b4bf2,7y73txStcKSdfI7smRFfIE,DISRESPECTFUL,Doja Cat,https://i.scdn.co/image/ab67616d0000b2736d6439f12c06d71f2c924305
